mode,barangay,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
environmental_only,BUSAY (POB.),858,233,346.97269835529545,0.2715617715617716,0.4043970843301812,0.512339496847649,0.6108459193202682,-0.06813480960261775
environmental_only,CALAMBA,858,512,397.9480311457392,0.5967365967365967,0.4638088941092532,0.6436740678293751,0.7653556103700796,-0.07743060262463186
environmental_only,CAMBINOCOT,858,30,65.81114105800081,0.03496503496503497,0.07670296160606155,0.10772271601257459,0.23368578000283854,-0.0423463000926414
environmental_only,CAMPUTHAW (POB.),858,1218,965.8716221659722,1.4195804195804196,1.1257245013589419,0.9666174249464041,1.3668138468904591,-0.06792191530855107
environmental_only,CAPITOL SITE (POB.),858,636,543.6542072618778,0.7412587412587412,0.6336296121933307,0.6895887433196558,0.8422769151811738,-0.027224010151881473
environmental_only,CARRETA,858,453,246.20075834204567,0.527972027972028,0.28694727079492505,0.576735326411875,0.7805057789163565,-0.13177121062487696
environmental_only,CENTRAL (POB.),858,44,13.483554406671095,0.05128205128205128,0.015715098376073537,0.0657330872860941,0.28319435625346917,-0.015753365145017906
environmental_only,COGON PARDO,858,402,478.4129286375707,0.46853146853146854,0.5575908259179146,0.6127567091464293,0.7484825314017872,0.0714311427302875
environmental_only,COGON RAMOS (POB.),858,101,455.5632108505848,0.11771561771561771,0.5309594532058098,0.5384012311436506,0.557674204604624,-1.3181024217824264
environmental_only,DAY-AS,858,329,67.93673437148993,0.38344988344988346,0.07918034309031462,0.4161320190185098,0.745234547092132,-0.20074931242388594
environmental_only,DULJO (POB.),858,869,411.7507746921942,1.0128205128205128,0.47989600779976016,0.9026150040156672,1.1893803702452077,-0.2737969136445053
environmental_only,ERMITA (POB.),858,402,232.89415275589909,0.46853146853146854,0.27143840647540685,0.5682146585011493,0.8211039991715784,-0.10049143017151452
environmental_only,GUADALUPE,858,2015,2736.292355820865,2.3484848484848486,3.189151929861148,1.4649940297993076,1.760854023089755,-0.39663821919607933
environmental_only,GUBA,858,150,39.37140632754653,0.17482517482517482,0.04588741996217544,0.20748183004561474,0.47095557746116345,-0.08264742358054189
environmental_only,HIPPODROMO,858,389,421.35153614415975,0.4533799533799534,0.49108570646172467,0.6013293438414411,0.7713203948742886,-0.023703023649493282
environmental_only,INAYAWAN,858,852,1057.069108723371,0.993006993006993,1.2320152782323672,1.0723478776654458,1.2453355413837892,-0.07140366982593305
environmental_only,KALUBIHAN (POB.),858,26,21.99007162452087,0.030303030303030304,0.02562945410783318,0.05451565294081615,0.1721161631242802,-0.008140851868480015
environmental_only,KALUNASAN,858,729,730.6897915826344,0.8496503496503497,0.851619803709364,0.7354116832647901,0.9563821163957742,-0.0358751359298517
environmental_only,KAMAGAYAN (POB.),858,97,47.777233826323176,0.11305361305361306,0.05568442170900137,0.15642979182248226,0.3226414577901298,-0.03814622053731065
environmental_only,KASAMBAGAN,858,369,454.16383269099845,0.43006993006993005,0.529328476329835,0.587036457457336,0.6506691248795903,-0.0252538082900875
environmental_only,KINASANG-AN PARDO,858,307,336.10678574506255,0.3578088578088578,0.3917328505187209,0.5193447926216934,0.6715633951112584,5.0862852806699e-4
environmental_only,LABANGON,858,1531,1475.1182712520547,1.7843822843822843,1.719252064396334,1.2188678166841738,1.4889891023285864,-0.03546397600728879
environmental_only,LAHUG (POB.),858,1606,1825.6016673708114,1.8717948717948718,2.1277408710615515,1.4230460547453445,1.8333612676957716,-0.04041411423052188
environmental_only,LOREGA (LOREGA SAN MIGUEL),858,224,299.9736395588762,0.26107226107226106,0.3496196265254968,0.4449993962670283,0.49404071571173486,-0.09345033521767365
environmental_only,LUSARAN,858,67,30.311824316490117,0.0780885780885781,0.0353284665693358,0.10756484292849862,0.2717681344542303,-0.02593620417351139
environmental_only,LUZ,858,449,473.7645608529904,0.5233100233100233,0.5521731478473082,0.6592323808197154,0.8021227697553127,0.010744501391824146
environmental_only,MABINI,858,94,10.355125379476693,0.10955710955710955,0.012068910698690784,0.11877633524301608,0.38483753282402444,-0.06155392601217402
environmental_only,MABOLO,858,777,1075.2496999675172,0.9055944055944056,1.2532047785169198,0.8163625158147373,0.9674829315477143,-0.1616464448725743
environmental_only,MALUBOG,858,106,28.988820848240252,0.12354312354312354,0.0337865044851285,0.14831573965102898,0.38100365297444766,-0.04748433224165738
environmental_only,MAMBALING,858,1129,756.6430730480781,1.3158508158508158,0.8818683835059186,0.9026086377134814,1.2966386775934482,-0.11875779525910435
environmental_only,PAHINA CENTRAL (POB.),858,359,178.12680239120544,0.4184149184149184,0.20760699579394573,0.4907336061227271,0.6781952383642214,-0.11861765771361887
environmental_only,PAHINA SAN NICOLAS,858,82,28.32050760382188,0.09557109557109557,0.03300758461983902,0.1224801718151789,0.30167748664800925,-0.0528943724158768
environmental_only,PAMUTAN,858,13,7.410496169407744,0.015151515151515152,0.008636941922386648,0.023605538851405025,0.12318240362992784,-0.016885050476713515
environmental_only,PARDO (POB.),858,636,1015.2498257198224,0.7412587412587412,1.1832748551513081,0.8414325589467937,1.0172335367580194,-0.21195294395205755
environmental_only,PARI-AN,858,101,39.83944262297073,0.11771561771561771,0.0464329168099892,0.15416061031461165,0.34790317759449507,-0.047812164673918245
environmental_only,PARIL,858,65,3.008056534886528,0.07575757575757576,0.0035058933973036452,0.07874222877578518,0.2744149142954684,-0.07548276340331128
environmental_only,PASIL,858,791,265.87132892824474,0.921911421911422,0.309873343739213,0.8735112171517831,1.2493164756060493,-0.30806897232795616
environmental_only,PIT-OS,858,167,158.14461162859595,0.19463869463869463,0.18431772917085776,0.3159959668828032,0.47228648253750294,0.00579005437089497
environmental_only,PULANGBATO,858,75,177.40006992878332,0.08741258741258741,0.20675998826198524,0.25665560857217085,0.30880670545982303,-0.19543232291757118
environmental_only,PUNG-OL-SIBUGAY,858,164,34.34452943984833,0.19114219114219114,0.04002858909073232,0.21805737042025358,0.514406996129341,-0.08812064991415047
environmental_only,PUNTA PRINCESA,858,936,892.4107703516512,1.0909090909090908,1.0401057929506425,0.823390321610906,1.082836597977715,-0.04262165575358079
