mode,barangay,horizon,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
environmental_only,BASAK PARDO,8,64,30,41.62948772851959,0.46875,0.6504607457581186,0.6509736648052488,0.7860532473340089,-0.1003631663092257
environmental_only,BASAK PARDO,9,63,29,45.15060793652968,0.4603174603174603,0.716676316452852,0.6855376069511494,0.8199449941568969,-0.18806659402274417
environmental_only,BASAK PARDO,10,62,28,40.36214677278646,0.45161290322580644,0.6510023673030074,0.6845756859253216,0.8165227157823196,-0.16917460021602548
environmental_only,BASAK PARDO,11,61,28,43.94284415291026,0.45901639344262296,0.7203744943100043,0.69839841375167655,0.8182389943424484,-0.16197085260285293
environmental_only,BASAK PARDO,12,60,27,37.26965357390304,0.45,0.621160892898384,0.673994023834464,0.7973165363807634,-0.09448549644685911
environmental_only,BASAK SAN NICOLAS,0,72,135,87.28696568126483,1.875,1.2123189677953448,1.327791346645126,1.7811382372918125,-0.16613476076423717
environmental_only,BASAK SAN NICOLAS,1,71,134,77.0437563172564,1.8873239436619718,1.0851233284120618,1.3404270188288976,1.8215499269256412,-0.20749786969402573
environmental_only,BASAK SAN NICOLAS,2,70,129,79.15653713513521,1.8428571428571427,1.1308076733590744,1.3155985682504103,1.7577301949244037,-0.16733099290076425
environmental_only,BASAK SAN NICOLAS,3,69,128,71.17629251408913,1.855072463768116,1.0315404712186829,1.3077240176389624,1.7690191508362787,-0.1700337920085948
environmental_only,BASAK SAN NICOLAS,4,68,126,75.09103861660594,1.8529411764705883,1.1042799796559697,1.2890882078871944,1.7576882890592225,-0.13848426791498358
environmental_only,BASAK SAN NICOLAS,5,67,121,63.09195544769348,1.8059701492537314,0.9416709768312459,1.2981003239287503,1.7658858405545403,-0.19745814607348078
environmental_only,BASAK SAN NICOLAS,6,66,117,67.75272951601262,1.7727272727272727,1.0265565078183732,1.2446655616817248,1.735888125491958,-0.1726943479745977
environmental_only,BASAK SAN NICOLAS,7,65,114,56.579965559330326,1.7538461538461538,0.8704610086050819,1.3622096042464245,1.8466636661237936,-0.3189266101865593
environmental_only,BASAK SAN NICOLAS,8,64,110,56.86359577243125,1.71875,0.8884936839442383,1.3028819222205779,1.7867873112189512,-0.25402052513457707
