model_scope,mode,horizon,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
barangay,environmental_only,0,5760,3037,3006.5174744676574,0.5272569444444445,0.5219648393173016,0.526329058885989,0.8485520662840803,0.21445959431094175
barangay,environmental_only,1,5680,2984,2756.9987570820813,0.5253521126760563,0.48538710512008476,0.5109606997616934,0.833637623930915,0.2374305978055622
barangay,environmental_only,2,5600,2906,2819.0400116165233,0.5189285714285714,0.5034000020743792,0.5164004220957904,0.8327023638511954,0.2209054818740721
barangay,environmental_only,3,5520,2850,2664.5888807853935,0.5163043478260869,0.4827153769538756,0.5077018853756159,0.8201287814949468,0.24267430305727877
barangay,environmental_only,4,5440,2770,2666.589108658138,0.5091911764705882,0.49018182144451067,0.5049341415798031,0.8121977582209203,0.2363979575162276
barangay,environmental_only,5,5360,2701,2213.3987625337154,0.5039179104477612,0.4129475303234543,0.4837713164805849,0.8064958763365164,0.23240907912406505
barangay,environmental_only,6,5280,2643,2486.540282773931,0.5005681818181819,0.47093565961627476,0.4990054917653861,0.8114491583721336,0.21697839097645488
barangay,environmental_only,7,5200,2570,2049.055410519908,0.49423076923076925,0.3940491174076747,0.485182641831877,0.8114453507361417,0.1999894951029494
barangay,environmental_only,8,5120,2508,1980.2875883624995,0.48984375,0.3867749196020507,0.48262540577705976,0.8135010856192528,0.18539317843687575
barangay,environmental_only,9,5040,2449,2147.2416645021876,0.4859126984126984,0.4260400127980531,0.49081456897117093,0.8149705845448973,0.17489462306492976
barangay,environmental_only,10,4960,2399,1991.6065678800835,0.48366935483870965,0.4015335822338878,0.4843949858584855,0.8089261903079481,0.18094932662078456
barangay,environmental_only,11,4880,2362,2148.616013731491,0.4840163934426229,0.44029016674825633,0.4963425633053329,0.8126215863093038,0.17174734023197236
barangay,environmental_only,12,4800,2317,1727.1902344340515,0.48270833333333335,0.3598312988404274,0.48268800997621353,0.8225172550590185,0.15489616351618074
barangay,standard,0,5760,3037,3365.38833407,0.5272569444444445,0.5842688079982639,0.51013927310625,0.8280966833264103,0.2518759290268341
barangay,standard,1,5760,2984,3407.50628788,0.5180555555555556,0.5915809527569444,0.52222980639375,0.8541705197349361,0.19152768353325111
barangay,standard,2,5760,2906,3403.485242231,0.5045138888888889,0.590882854553993,0.5289171979897569,0.8692153452521101,0.13410564168061134
barangay,standard,3,5760,2850,3463.217807063,0.4947916666666667,0.6012530915039931,0.536981670458507,0.8866870308971547,0.08768441577465436
barangay,standard,4,5760,2770,3375.005299323,0.4809027777777778,0.5859384200213542,0.5311610277043403,0.8741270191163913,0.07884104270542824
barangay,standard,5,5760,2701,3485.67638965,0.46892361111111114,0.6051521509809028,0.5581288816486111,0.9381185816341697,-0.09333579402058745
