mode,barangay,horizon,n,mae,rmse,r2
environmental_only,BUHISAN,0,72,0.6317773307958917,0.7135082133763962,-0.17035172654550346
environmental_only,BUHISAN,1,71,0.5942524741319334,0.6581978635876872,-0.07053153906365917
environmental_only,BUHISAN,2,70,0.5846999466886774,0.6637252676417329,-0.07876213465259396
environmental_only,BUHISAN,3,69,0.5887375415599729,0.6594433415602382,-0.055247066354047636
environmental_only,BUHISAN,4,68,0.5926929101779412,0.6690647019614352,-0.0764026982315551
environmental_only,BUHISAN,8,64,0.5150688850005288,0.5759712985898879,-0.023978198289391406
environmental_only,BUHISAN,12,60,0.4694486548869848,0.5480399756071868,-0.0610913969663327
environmental_only,BULACAO,0,72,0.79789091466203,0.9487485961147968,-0.31963865681472603
environmental_only,BULACAO,1,71,0.7234194264965914,0.848608261694999,-0.0491923365143172
environmental_only,BULACAO,2,70,0.7831383376386729,0.929782325882782,-0.29304833646751516
environmental_only,BULACAO,3,69,0.7717177598168473,0.9060665334694606,-0.2145973265358272
environmental_only,BULACAO,4,68,0.7561948627022065,0.8943594837984657,-0.3342857034875302
environmental_only,BULACAO,8,64,0.7035859289132439,0.8166725900451106,-0.12514171037056498
environmental_only,BULACAO,12,60,0.7013705286237527,0.8052592792191879,-0.1813729880399706
environmental_only,BUOT-TAUP PARDO,0,72,0.06282426850784618,0.23403643741444868,-0.04390997107045158
environmental_only,BUOT-TAUP PARDO,1,71,0.05909482586807316,0.23736636246264514,-0.05979106169745463
environmental_only,BUOT-TAUP PARDO,2,70,0.06254130622774591,0.23845868550878763,-0.05540329167968383
environmental_only,BUOT-TAUP PARDO,3,69,0.06247882107103664,0.24104864319093341,-0.06398184137357021
environmental_only,BUOT-TAUP PARDO,4,68,0.06416954817444165,0.24158748661666613,-0.05420902852125087
environmental_only,BUOT-TAUP PARDO,8,64,0.06522187267117051,0.2501032122858272,-0.06754759331310156
environmental_only,BUOT-TAUP PARDO,12,60,0.06994023458396645,0.25845134376123663,-0.07352477469267904
environmental_only,BUSAY (POB.),0,72,0.5102692976139164,0.6114198448204128,-0.10111172210391395
environmental_only,BUSAY (POB.),1,71,0.5317701192174826,0.6091205597039225,-0.08112799039104868
environmental_only,BUSAY (POB.),2,70,0.5382750672887818,0.6075961537217314,-0.06408713028556767
environmental_only,BUSAY (POB.),3,69,0.5522993900918785,0.6177341877410102,-0.10779042843778108
environmental_only,BUSAY (POB.),4,68,0.5330386377039551,0.6126089093004874,-0.07718153984359688
environmental_only,BUSAY (POB.),8,64,0.48098989973661427,0.598785974315437,-0.020569046476087482
environmental_only,BUSAY (POB.),12,60,0.4599748696834303,0.6092314250265125,-0.02468293348420736
environmental_only,CALAMBA,0,72,0.6386159714266642,0.7401534066416955,-0.04756012793927833
environmental_only,CALAMBA,1,71,0.6327291232571917,0.7434679101131708,-0.051466110455969716
environmental_only,CALAMBA,2,70,0.6311336660815019,0.7390233482541874,-0.033666278639500336
environmental_only,CALAMBA,3,69,0.6263287071639887,0.7430195357192272,-0.03482027678033073
environmental_only,CALAMBA,4,68,0.6349217304486189,0.7415689164728947,-0.025343021464311777
environmental_only,CALAMBA,8,64,0.6463086868273976,0.7874980809090951,-0.1264512725391751
environmental_only,CALAMBA,12,60,0.651486977935598,0.8058480687903147,-0.13983812574504495
