origin_year,origin_week,target_year,target_week,forecast_horizon,forecast_horizon_label,city_dengue_cases,city_incidence_10000,target_cases,target_incidence_10000,target_log_incidence,target_population,city_outbreak_threshold_cases,city_large_outbreak_threshold_cases,actual_cases,actual_incidence_10000,actual_log_incidence,actual_outbreak,pure_lightgbm_cases,predicted_cases,pure_lightgbm_log_incidence,predicted_log_incidence,outbreak_probability,alert_threshold,predicted_outbreak_from_cases,predicted_outbreak_from_probability,alert_level,alert_level_from_cases,error,absolute_error,display_in_app_default,model_type,uses_autocorrelation_features,includes_citywide_environmental_features,mae,rmse,r2,mode,model_scope,horizon,total_predicted_cases,actual_cases_available,forecast_available
2025,1,2025,1,0,H+0,53,0.5480522758271134,53,0.5480522758271134,0.4369975445115006,967061.033001151,77.75,131,53,0.5480522758271134,0.4369975445115006,FALSE,20.941848292970647,20.941848292970647,0.19602018770745286,0.19602018770745286,0.23612302563436594,0.5,0,0,Low,Low,-32.05815170702935,32.05815170702935,TRUE,City-week Pure LightGBM regressor,TRUE,TRUE,9.639426664345436,11.769836985130722,0.5214117034804702,standard,city,0,20.941848292970647,TRUE,TRUE
2025,1,2025,2,1,H+1,53,0.5480522758271134,78,0.806442046422961,0.591359190505834,967211.4734837464,77.75,131,78,0.806442046422961,0.591359190505834,TRUE,21.12868043918543,21.12868043918543,0.19757909928362494,0.19757909928362494,0.2379564074818249,0.5,0,0,Low,Low,-56.87131956081457,56.87131956081457,TRUE,City-week Pure LightGBM regressor,TRUE,TRUE,12.5747639820352,15.468429289377072,0.2330940010439665,standard,city,1,21.12868043918543,TRUE,TRUE
2025,1,2025,3,2,H+2,53,0.5480522758271134,56,0.5788938857049687,0.4567245295351795,967362.091444514,77.75,131,56,0.5788938857049687,0.4567245295351795,FALSE,30.087583963718057,30.087583963718057,0.2708108866020072,0.2708108866020072,0.32089435327240157,0.5,0,0,Watch,Low,-25.912416036281943,25.912416036281943,TRUE,City-week Pure LightGBM regressor,TRUE,TRUE,13.066446355618545,16.153370004964884,0.17458024261597216,standard,city,2,30.087583963718057,TRUE,TRUE
2025,1,2025,4,3,H+3,53,0.5480522758271134,80,0.8268623712952247,0.6025999441233734,967512.8869957565,77.75,131,80,0.8268623712952247,0.6025999441233734,TRUE,34.585201732411846,34.585201732411846,0.30561900744969905,0.30561900744969905,0.3590640478872258,0.5,0,0,Watch,Low,-45.414798267588154,45.414798267588154,TRUE,City-week Pure LightGBM regressor,TRUE,TRUE,15.69401556274462,19.86043392972974,-0.1783271656600438,standard,city,3,34.585201732411846,TRUE,TRUE
2025,1,2025,5,4,H+4,53,0.5480522758271134,69,0.7130575278710393,0.5382798018901898,967663.8602499834,77.75,131,69,0.7130575278710393,0.5382798018901898,FALSE,43.900148839530694,43.900148839530694,0.3740924062166494,0.3740924062166494,0.43143073748612415,0.5,0,0,Watch,Watch,-25.099851160469306,25.099851160469306,TRUE,City-week Pure LightGBM regressor,TRUE,TRUE,20.690269629798852,25.259965378433055,-0.9185186607610409,standard,city,4,43.900148839530694,TRUE,TRUE
2025,1,2025,6,5,H+5,53,0.5480522758271134,58,0.5992880800732708,0.4695585802719254,967815.0113199104,77.75,131,58,0.5992880800732708,0.4695585802719254,FALSE,45.62974255481015,45.62974255481015,0.38626308232407003,0.38626308232407003,0.443939244237212,0.5,0,0,Watch,Watch,-12.37025744518985,12.37025744518985,FALSE,City-week Pure LightGBM regressor,TRUE,TRUE,18.65598094696018,23.960358546436293,-0.6921211635088906,standard,city,5,45.62974255481015,TRUE,TRUE
2025,1,2025,7,6,H+6,53,0.5480522758271134,73,0.7541584553031356,0.5619892292670884,967966.3403184612,77.75,131,73,0.7541584553031356,0.5619892292670884,FALSE,39.3018634836462,39.3018634836462,0.3407666487539325,0.3407666487539325,0.3967901938722489,0.5,0,0,Watch,Watch,-33.6981365163538,33.6981365163538,FALSE,City-week Pure LightGBM regressor,TRUE,TRUE,25.378592665205506,31.390676676068104,-1.7966147461038036,standard,city,6,39.3018634836462,TRUE,TRUE
2025,1,2025,8,7,H+7,53,0.5480522758271134,62,0.640417901282879,0.4949510272309656,968117.8473587666,77.75,131,62,0.640417901282879,0.4949510272309656,FALSE,42.01886388003165,42.01886388003165,0.3604861050396131,0.3604861050396131,0.41750550736813785,0.5,0,0,Watch,Watch,-19.981136119968347,19.981136119968347,FALSE,City-week Pure LightGBM regressor,TRUE,TRUE,34.515870553971546,41.443514982919616,-3.883053064340129,standard,city,7,42.01886388003165,TRUE,TRUE
2025,1,2025,9,8,H+8,53,0.5480522758271134,59,0.6093344674841301,0.4758207193002308,968269.5325541655,77.75,131,59,0.6093344674841301,0.4758207193002308,FALSE,48.43473230632486,48.43473230632486,0.4056114456218996,0.4056114456218996,0.4636427111753506,0.5,0,0,Watch,Watch,-10.565267693675139,10.565267693675139,TRUE,City-week Pure LightGBM regressor,TRUE,TRUE,40.013757103939064,46.87649995774674,-5.119488275577525,standard,city,8,48.43473230632486,TRUE,TRUE
2025,1,2025,10,9,H+9,53,0.5480522758271134,50,0.5163041647528829,0.4162759034759227,968421.3960182046,77.75,131,50,0.5163041647528829,0.4162759034759227,FALSE,53.47157736989307,53.47157736989307,0.4396423305242741,0.4396423305242741,0.4972877446442947,0.5,0,0,Watch,Watch,3.471577369893069,3.471577369893069,FALSE,City-week Pure LightGBM regressor,TRUE,TRUE,26.42889533870525,31.520948586732473,-1.706150632553832,standard,city,9,53.47157736989307,TRUE,TRUE
