origin_year,origin_week,target_year,target_week,forecast_horizon,forecast_horizon_label,city_dengue_cases,city_incidence_10000,target_cases,target_incidence_10000,target_log_incidence,target_population,city_outbreak_threshold_cases,city_large_outbreak_threshold_cases,actual_cases,actual_incidence_10000,actual_log_incidence,actual_outbreak,environmental_lightgbm_cases,predicted_cases,environmental_lightgbm_log_incidence,predicted_log_incidence,predicted_outbreak_from_cases,outbreak_probability,alert_threshold,predicted_outbreak_from_probability,alert_level,alert_level_from_cases,error,absolute_error,display_in_app_default,model_type,uses_autocorrelation_features,includes_citywide_environmental_features,mae,rmse,r2,mode,model_scope,horizon,total_predicted_cases,actual_cases_available,forecast_available
2025,1,2025,1,0,H+0,53,0.5480522758271134,53,0.5480522758271134,0.4369975445115006,967061.033001151,77.75,131,53,0.5480522758271134,0.4369975445115006,FALSE,67.42474967363836,67.42474967363836,0.5289874773794374,0.5289874773794374,0,0.579873470649259,0.5,1,Moderate,Moderate,14.42474967363836,14.42474967363836,TRUE,City-week environmental-only LightGBM regressor,FALSE,TRUE,29.42293637075547,33.08385433880591,-2.78140660611393,environmental_only,city,0,67.42474967363836,TRUE,TRUE
2025,1,2025,2,1,H+1,53,0.5480522758271134,78,0.806442046422961,0.591359190505834,967211.4734837464,77.75,131,78,0.806442046422961,0.591359190505834,TRUE,66.94818142626944,66.94818142626944,0.5260160356072294,0.5260160356072294,0,0.5772903987521464,0.5,1,Moderate,Moderate,-11.051818573730557,11.051818573730557,TRUE,City-week environmental-only LightGBM regressor,FALSE,TRUE,31.780770606156885,36.24477733211242,-3.210566921254256,environmental_only,city,1,66.94818142626944,TRUE,TRUE
2025,1,2025,3,2,H+2,53,0.5480522758271134,56,0.5788938857049687,0.4567245295351795,967362.091444514,77.75,131,56,0.5788938857049687,0.4567245295351795,FALSE,89.35490860923133,89.35490860923133,0.654248653549801,0.654248653549801,1,0.6831286028736531,0.5,1,Moderate,High,33.35490860923133,33.35490860923133,TRUE,City-week environmental-only LightGBM regressor,FALSE,TRUE,47.502529121785464,50.59054954107221,-7.096314536849759,environmental_only,city,2,89.35490860923133,TRUE,TRUE
2025,1,2025,4,3,H+3,53,0.5480522758271134,80,0.8268623712952247,0.6025999441233734,967512.8869957565,77.75,131,80,0.8268623712952247,0.6025999441233734,TRUE,89.338491574643,89.338491574643,0.6540855951889273,0.6540855951889273,1,0.6830616879162262,0.5,1,Moderate,High,9.338491574643001,9.338491574643001,TRUE,City-week environmental-only LightGBM regressor,FALSE,TRUE,39.21005407928563,43.04430217882373,-4.535027297241086,environmental_only,city,3,89.338491574643,TRUE,TRUE
2025,1,2025,5,4,H+4,53,0.5480522758271134,69,0.7130575278710393,0.5382798018901898,967663.8602499834,77.75,131,69,0.7130575278710393,0.5382798018901898,FALSE,85.12731173872528,85.12731173872528,0.6311227560465716,0.6311227560465716,1,0.6654219316456123,0.5,1,Moderate,High,16.127311738725282,16.127311738725282,TRUE,City-week environmental-only LightGBM regressor,FALSE,TRUE,43.41250918730563,47.10273186071525,-5.671027299844794,environmental_only,city,4,85.12731173872528,TRUE,TRUE
2025,1,2025,6,5,H+5,53,0.5480522758271134,58,0.5992880800732708,0.4695585802719254,967815.0113199104,77.75,131,58,0.5992880800732708,0.4695585802719254,FALSE,66.88401819775967,66.88401819775967,0.5253689568851736,0.5253689568851736,0,0.5769414134504094,0.5,1,Moderate,Moderate,8.884018197759673,8.884018197759673,FALSE,City-week environmental-only LightGBM regressor,FALSE,TRUE,35.90224587667373,40.366149990435744,-3.802634001427691,environmental_only,city,5,66.88401819775967,TRUE,TRUE
2025,1,2025,7,6,H+6,53,0.5480522758271134,73,0.7541584553031356,0.5619892292670884,967966.3403184612,77.75,131,73,0.7541584553031356,0.5619892292670884,FALSE,74.74842621171902,74.74842621171902,0.5722337527606872,0.5722337527606872,0,0.6176407049030639,0.5,1,Moderate,Moderate,1.7484262117190212,1.7484262117190212,FALSE,City-week environmental-only LightGBM regressor,FALSE,TRUE,41.484353040985404,45.398025857549726,-4.849317879760859,environmental_only,city,6,74.74842621171902,TRUE,TRUE
2025,1,2025,8,7,H+7,53,0.5480522758271134,62,0.640417901282879,0.4949510272309656,968117.8473587666,77.75,131,62,0.640417901282879,0.4949510272309656,FALSE,79.59727469713602,79.59727469713602,0.6000367695722938,0.6000367695722938,1,0.640758049290032,0.5,1,Moderate,High,17.597274697136015,17.597274697136015,FALSE,City-week environmental-only LightGBM regressor,FALSE,TRUE,46.14227520291241,49.528671976025,-5.974155805311899,environmental_only,city,7,79.59727469713602,TRUE,TRUE
2025,1,2025,9,8,H+8,53,0.5480522758271134,59,0.6093344674841301,0.4758207193002308,968269.5325541655,77.75,131,59,0.6093344674841301,0.4758207193002308,FALSE,95.87206908060156,95.87206908060156,0.6882041036588937,0.6882041036588937,1,0.7086066698154319,0.5,1,High,High,36.87206908060156,36.87206908060156,TRUE,City-week environmental-only LightGBM regressor,FALSE,TRUE,54.74143016825938,57.9039107490872,-8.337283490475533,environmental_only,city,8,95.87206908060156,TRUE,TRUE
2025,1,2025,10,9,H+9,53,0.5480522758271134,50,0.5163041647528829,0.4162759034759227,968421.3960182046,77.75,131,50,0.5163041647528829,0.4162759034759227,FALSE,78.4544143777202,78.4544143777202,0.5933969078671104,0.5933969078671104,1,0.6354384907074992,0.5,1,Moderate,High,28.454414377720198,28.454414377720198,FALSE,City-week environmental-only LightGBM regressor,FALSE,TRUE,41.549534031982475,45.400908428883035,-4.6141303944814265,environmental_only,city,9,78.4544143777202,TRUE,TRUE
