forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+2,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,41,75.23398236258622,41.794742403248584,-0.02914652093629755,0.1687508560589921,83.59293084323593
H+2,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,33,75.58430478934636,45.371543837661164,-0.038753150693559224,0.02956000964135174,84.65861355687859
H+2,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,43,75.61359277708189,46.04934966253716,-0.03955831477860405,-0.017426164863454364,84.82346270958932
H+2,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,32,75.98452129395204,45.97079874276871,-0.049782604088822735,-0.04406719509648895,85.17868104250579
H+2,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,650,79.27404948645963,40.176495897717935,-0.14264466228361639,0.16338477732886048,87.30934866600322
H+2,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,600,79.88162148939136,41.16300731984511,-0.16022669077333385,0.10485676314894495,88.11422295336038
