forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+4,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,23,75.35412217419503,48.11150299416118,-0.032435996933486644,-0.05576597657850398,84.97642277302727
H+4,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,20,76.43855919762859,44.32792638392467,-0.06236582881179231,-0.039719668151233165,85.30414447441353
H+4,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,43,76.59535504787583,46.24384025037498,-0.06672868963876244,-0.15347840133208182,85.84412309795083
H+4,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,21,76.24878662778931,49.81999673936614,-0.057097345692837864,-0.2242770521445118,86.21278597566254
H+4,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,20,76.14473345115583,50.43931101536883,-0.054214171032337166,-0.21207329767672484,86.2325956542296
H+4,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,600,81.11169842847914,40.4720592758828,-0.19623388167347233,-0.030745255691001297,89.2061102836557
