forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+8,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,25,76.25901720079321,46.95974300169359,-0.057381033803035386,-0.1970497979751847,85.65096580113193
H+8,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,28,76.72247902179328,45.72784441376949,-0.07027248996830426,-0.15736348929781233,85.86804790454717
H+8,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,28,76.50933133546664,46.95963431871679,-0.0643339639475271,-0.19861753608111862,85.90125819920999
H+8,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,31,76.09691985729177,49.0267478550022,-0.05289064042744296,-0.24599036843783156,85.90226942829221
H+8,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,650,81.73079315395303,41.202971402544826,-0.21456436646401533,-0.11334397823509433,89.971387434462
H+8,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,600,82.05153557092619,41.2291863211844,-0.22411588774567281,-0.13770074562462142,90.29737283516307
