forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+9,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,32,76.70579961538563,49.06821464068407,-0.06980718776215489,-0.2859467162253871,86.51944254352244
H+9,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,21,77.39195565105746,46.22801274204563,-0.08903227453429596,-0.21611356151564443,86.63755819946658
H+9,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,27,77.03118613384157,48.1150155393141,-0.0789026971249367,-0.23730153545638566,86.65418924170439
H+9,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,23,77.08267860036759,48.708125221765364,-0.08034559141609665,-0.301256167104746,86.82430364472066
H+9,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,24,77.45466864997117,48.7097407620654,-0.09079793998641006,-0.2765843692860796,87.19661680238426
H+9,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,650,82.30442735732646,40.94928947784461,-0.231673233600316,-0.24182751909493727,90.49428525289538
