forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+7,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,34,75.81290476286853,47.80015208513356,-0.045045939473511876,-0.11453012546582494,85.37293517989524
H+7,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,32,76.4181264212899,46.15061662771615,-0.06179794311798292,-0.10066880625442032,85.64824974683313
H+7,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,30,76.79615225820591,45.386397810808354,-0.07232894845338911,-0.12893727267394212,85.87343182036759
H+7,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,30,76.88655907615791,45.64976524542457,-0.07485519251661943,-0.22491328607090366,86.01651212524283
H+7,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,600,81.04421708683422,40.12195372742906,-0.19424428240124558,-0.033500193199107624,89.06860783232004
H+7,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,650,82.25046432514335,41.81700405055605,-0.23005866593749147,-0.1798404586681639,90.61386513525457
