forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+3,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,26,74.31431702115736,42.236521683175695,-0.004139589289824386,0.2299777324191561,82.7616213577925
H+3,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,30,74.42241715536719,44.741957628421424,-0.007063025237453724,0.1360550371183139,83.37080868105147
H+3,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,37,75.89793653313562,44.64544597389523,-0.047391501628152755,0.02442338028402505,84.82702572791467
H+3,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,53,75.98701173601411,44.45426085916528,-0.04985141983059305,0.01799103072563013,84.87786390784717
H+3,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,25,76.23620710693099,43.316277685909725,-0.0567485747349219,0.052423643759593526,84.89946264411293
H+3,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,25,75.58103875004561,47.42858740220449,-0.03866338244537171,-0.04616352853564123,85.0667562304865
