forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+10,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,29,75.94156903646018,47.08243809463326,-0.04859610484801924,-0.258192518967645,85.35805665538683
H+10,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,27,76.04381879303331,50.990863972132786,-0.051421721407793886,-0.39889694328981934,86.24199158745986
H+10,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,26,76.86466207348755,48.117465990280486,-0.07424305026949107,-0.3651468439506122,86.48815527154365
H+10,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,800,80.68437019505635,41.78233753760823,-0.18366262595903682,-0.31594378149173125,89.04083770257799
H+10,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,600,82.25559774459396,40.13021435667278,-0.23021221167563288,-0.2211865164291688,90.28164061592851
H+10,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,650,83.08564299286006,40.722000930135295,-0.25516574612678,-0.39638342149959327,91.23004317888712
