"variable","feature","lag","cor_log_incidence","cor_cases","cor_outbreak","cor_large_outbreak","selection_score","selected"
"wind_speed_10m","wind_speed_10m_lag2",2,0.0224585712965474,0.00799717364391006,0.0101008160816364,0.00690628192599831,0.0139881898988328,FALSE
"wind_speed_10m","wind_speed_10m_lag3",3,0.00365972917003103,0.00490438962644771,0.00405316152826071,0.000286759408743874,0.0038170782073826,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag7",7,0.0617098482205936,0.0586046058982211,0.0497341594654173,0.0374573723368468,0.0564014125061121,TRUE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag6",6,0.0616517292760033,0.058356374261136,0.0503915031620485,0.036961543017217,0.0563403024778279,TRUE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag5",5,0.0569354430139766,0.0570834566314868,0.0513464344135256,0.0369504722107389,0.0541503994097138,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag20",20,0.0604273469197738,0.0554111755039427,0.0425865443138884,0.041697761912033,0.054122608032576,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag4",4,0.0583343897278514,0.0547199568051848,0.0526492515970339,0.0344727787012616,0.0538304063826365,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag8",8,0.0552904202415445,0.0498534855009335,0.049471762365632,0.0316039705769319,0.0501460494344825,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag9",9,0.0525394329010442,0.0496831413884999,0.0445742245132368,0.0388463631224772,0.0489756426356259,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag19",19,0.0485017275731509,0.0465431052872546,0.0386406285477908,0.0313079841016768,0.0446176705721358,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag3",3,0.0463177197749283,0.0397894054697407,0.039972957924555,0.0253566725421011,0.0409849907672739,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag18",18,0.043734014873927,0.0389120069729564,0.0298495405489112,0.026071908971529,0.0381974303695951,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag10",10,0.03533252944155,0.0365350163093888,0.0333207843327002,0.0257452272770799,0.0344929078625191,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag17",17,0.0388439410517877,0.029102334202504,0.0232585370024467,0.0150206312407832,0.0307142370660368,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag2",2,0.0309025206907526,0.0244506272174302,0.0233167760919826,0.0145119774959695,0.025867441965796,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag16",16,0.0236748500079872,0.0258728321346522,0.019470291972062,0.0203196904372612,0.0234779440898586,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag11",11,0.022160486998381,0.0235065206135299,0.0254700597562051,0.0179134275388388,0.0227033287314025,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag15",15,0.0209748726177666,0.0199099456402164,0.016353597315016,0.0130091977263823,0.019112389391073,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag1",1,0.0116617666972705,0.00893171971082441,0.0088103115708256,0.00855216624055689,0.00996757193737628,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag12",12,0.00433926458747419,0.0127380728837753,0.0130071445260163,0.0133346338560436,0.00947856640881786,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag14",14,0.00774982118835017,0.00391527536357575,0.000839808879880356,0.00209621580121212,0.00480586776469485,FALSE
"neighbor_env_rainfall_mean","neighbor_env_rainfall_mean_lag13",13,9.87236796857134e-05,0.00224773357067641,0.00200272689252081,0.00181340159033798,0.00130794541452295,FALSE
"neighbor_env_rh_mean","neighbor_env_rh_mean_lag20",20,0.152680369452161,0.150116805335471,0.12877260973307,0.1088148551019,0.14381040661843,TRUE
"neighbor_env_rh_mean","neighbor_env_rh_mean_lag19",19,0.141321989674248,0.139242640890225,0.120414825066035,0.0979566527608542,0.133121609217268,TRUE
"neighbor_env_rh_mean","neighbor_env_rh_mean_lag18",18,0.12975063474424,0.126331898317802,0.108435631363898,0.0857462705114832,0.12095639006466,FALSE
