forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+1,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,25,74.65449076238366,46.036645742075926,-0.013353526254962444,0.09707729794412344,83.86181991079884
H+1,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,25,75.40648290505176,43.000005104831395,-0.03387129691749746,0.1399020183981911,84.00648392601803
H+1,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,26,75.03339187585809,45.47822310771332,-0.023665971013132392,0.059033194456006674,84.12903649740075
H+1,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,25,74.85834197751126,47.88597978881796,-0.018895199091876203,0.023460138491065027,84.43553793527485
H+1,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,40,75.79931240197602,46.03115065114325,-0.044671244209149474,-0.037825194968745465,85.00554253220467
H+1,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,650,80.56853805529255,40.44452872102864,-0.18026648471950812,0.1875872336558979,88.65744379949828
