horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,Alert_AUC,Brier_score,Alert_F1,Alert_Recall,Alert_Precision,score
3,0.05,4,5,0.85,0.85,1,0.05,500,0.879727199749742,0.1263572624962755,0.44452745610758315,0.7608695652173914,0.31398416886543534,-0.8165485685016043
3,0.03,4,5,0.85,0.85,1,0.05,500,0.8830091220679673,0.1359215284486642,0.43798177995795373,0.7992327365728901,0.3016409266409266,-0.8150483578436353
3,0.05,4,3,0.85,0.85,1,0.05,400,0.8801570762696626,0.13106746192041727,0.435778175313059,0.7787723785166241,0.3025335320417288,-0.8146233453094539
3,0.05,4,5,0.85,0.85,1,0.05,400,0.8800067721668016,0.1313853724196971,0.43837585339561624,0.7800511508951407,0.30484757621189407,-0.814314085956953
3,0.05,4,3,0.85,0.85,1,0.05,500,0.8775816341279207,0.12764677648249562,0.4441980783444198,0.768542199488491,0.3123700623700624,-0.8137582458866729
3,0.03,4,3,0.85,0.85,1,0.05,500,0.8813130267853447,0.1375906920661936,0.43403375818119183,0.8056265984654731,0.297029702970297,-0.812517680752248
3,0.05,3,3,0.85,0.85,1,0.05,400,0.8819263727039607,0.14367451804959247,0.42509175842509184,0.8145780051150895,0.2875846501128668,-0.8100891136791645
3,0.03,4,3,0.85,0.85,1,0.05,400,0.8806516717684109,0.14188584000930665,0.42446772558296725,0.80306905370844,0.28847037207165827,-0.8097087517637576
3,0.05,3,5,0.85,0.85,1,0.05,500,0.8797466239255631,0.14044170950494125,0.43130553656869447,0.8069053708439897,0.2943097014925373,-0.8095257691730925
3,0.05,3,3,0.85,0.85,1,0.05,500,0.8805883099372387,0.1422999749140542,0.428186109238031,0.8120204603580563,0.2907509157509158,-0.8094383224802116
3,0.05,3,5,0.85,0.85,1,0.05,400,0.8811142894755235,0.14420233223527673,0.42486702127659576,0.8171355498721228,0.28706199460916443,-0.8090131233578851
3,0.03,4,5,0.85,0.85,1,0.05,400,0.8792829035359804,0.14166982441151765,0.4267211997273347,0.8005115089514067,0.2908921933085502,-0.8084479913302216
3,0.03,3,3,0.85,0.85,1,0.05,500,0.8803219697098215,0.1502625164294998,0.41326037978757646,0.8209718670076727,0.2761290322580645,-0.8051907114950716
3,0.03,3,5,0.85,0.85,1,0.05,500,0.8791442200099208,0.15120815777139496,0.4131063283006746,0.8222506393861893,0.27584727584727586,-0.8035401411242233
3,0.03,3,5,0.85,0.85,1,0.05,400,0.880021785612742,0.15449742983260795,0.4058246280468502,0.819693094629156,0.2696676482961716,-0.802773070696438
3,0.03,3,3,0.85,0.85,1,0.05,400,0.8792068184455366,0.15564172662257555,0.4055415617128464,0.8235294117647058,0.26900584795321636,-0.8013859551342488
