horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,Alert_AUC,Brier_score,Alert_F1,Alert_Recall,Alert_Precision,score
1,0.05,4,3,0.85,0.85,1,0.05,500,0.8981038272242463,0.13002910956805916,0.453905700211119,0.8248081841432225,0.3131067961165049,-0.8330892724402167
1,0.05,4,5,0.85,0.85,1,0.05,500,0.8971799489576767,0.12971001934939755,0.45560665015917934,0.8235294117647058,0.31491442542787285,-0.8323249392829779
1,0.05,4,5,0.85,0.85,1,0.05,400,0.8970335466543257,0.1361914340798336,0.44368832936372915,0.8337595907928389,0.30227167362076957,-0.8289378296144089
1,0.05,4,3,0.85,0.85,1,0.05,400,0.8963956872561799,0.135137827075728,0.44275862068965516,0.8209718670076727,0.3031161473087819,-0.8288267737183159
1,0.03,4,3,0.85,0.85,1,0.05,500,0.8974732624947496,0.14111055048044674,0.43704197201865425,0.8388746803069054,0.2954954954954955,-0.8269179872545263
1,0.03,4,5,0.85,0.85,1,0.05,500,0.8968684835707098,0.1417138799073427,0.4340312396144898,0.8350383631713555,0.29321957790749886,-0.8260115436170384
1,0.05,3,5,0.85,0.85,1,0.05,500,0.897057975312127,0.144327815626326,0.4296005239030779,0.8388746803069054,0.2887323943661972,-0.8248940674989641
1,0.05,3,3,0.85,0.85,1,0.05,400,0.8971702792806303,0.14684090081340712,0.4288953676708779,0.8465473145780051,0.2872017353579176,-0.8237498288739268
1,0.03,4,5,0.85,0.85,1,0.05,400,0.8973239762526303,0.1476020549356772,0.4252873563218391,0.8516624040920716,0.2834042553191489,-0.8235229487847917
1,0.05,3,5,0.85,0.85,1,0.05,400,0.8979012729366436,0.14935715261428145,0.4269734739533398,0.8542199488491049,0.2846186621218577,-0.8232226966295029
1,0.05,3,3,0.85,0.85,1,0.05,500,0.8969427874048554,0.14762676145992504,0.42769330313814297,0.8452685421994884,0.2862711130359463,-0.8231294066748929
1,0.03,4,3,0.85,0.85,1,0.05,400,0.896380588988511,0.14745956212667688,0.4258481421647819,0.8427109974424553,0.28491137051448334,-0.8226508079251726
1,0.03,3,3,0.85,0.85,1,0.05,500,0.8972608688866436,0.1554003587653083,0.4190239353434877,0.8618925831202046,0.2767967145790554,-0.8195606895039894
1,0.03,3,5,0.85,0.85,1,0.05,500,0.896702911556723,0.15509461872260732,0.4195152268489746,0.8631713554987213,0.2770935960591133,-0.8191556021954194
1,0.03,3,5,0.85,0.85,1,0.05,400,0.8960832040084713,0.15691363526617766,0.41582336706531736,0.8670076726342711,0.2734973779749899,-0.8176263863753824
1,0.03,3,3,0.85,0.85,1,0.05,400,0.8959659803797163,0.15703638729758929,0.41466420209488597,0.860613810741688,0.27313311688311687,-0.8174477867309217
