variable,feature,lag,cor_log_incidence,cor_cases,cor_outbreak,cor_large_outbreak,peak_lift,selection_score,selected,group
dengue_cases,dengue_cases_lag1,1,0.19389190419902877,0.38866043148562246,0.34393271791898344,0.28558837425453476,1.6479306250771733,0.3092711873425498,TRUE,case
dengue_cases,dengue_cases_lag2,2,0.1760506891153197,0.3668223089398732,0.3262043096363948,0.2667192284240873,1.5375915123388735,0.28920374384765946,FALSE,case
dengue_cases,dengue_cases_lag3,3,0.16610381900691237,0.34894631646093066,0.31696559492944093,0.25829857503184434,1.4876340933528795,0.2768371096356525,FALSE,case
dengue_cases,dengue_cases_lag4,4,0.1531400782324131,0.32667854133629964,0.29428907399359566,0.2386627395805989,1.3732367471126563,0.2572139576575578,FALSE,case
dengue_cases,dengue_cases_lag5,5,0.13951008708979282,0.31269984158586495,0.2859491704085237,0.22821944861454896,1.311895802316503,0.244515191938955,FALSE,case
dengue_cases,dengue_cases_lag6,6,0.12764390778336837,0.29313732143105053,0.2704012562121555,0.2140866965458057,1.2294800267520067,0.22859681882970587,FALSE,case
dengue_cases,dengue_cases_lag7,7,0.1198716555699535,0.27658706517067405,0.2588993277421403,0.20130086520004323,1.1549461950957538,0.21609025432071421,FALSE,case
dengue_cases,dengue_cases_lag8,8,0.10821796718704477,0.25906328621881997,0.2406514477053697,0.18068396656960342,1.0356648707096945,0.19905504175764083,FALSE,case
dengue_cases,dengue_cases_lag9,9,0.09910229965489016,0.25306988691313154,0.2355185969519444,0.1746108056916415,0.999892856006787,0.1918364518461505,FALSE,case
dengue_cases,dengue_cases_lag10,10,0.0959577832167944,0.24824956990317665,0.22763381380842235,0.1704911037384629,0.9753623554926311,0.1868920074905723,FALSE,case
dengue_cases,dengue_cases_lag11,11,0.08744189905034473,0.23553191201253335,0.22033159239742298,0.1656341627458366,0.946662770317031,0.1776716858640661,FALSE,case
dengue_cases,dengue_cases_lag12,12,0.08632328851785005,0.23226399906279474,0.22031343391191519,0.16935744341048603,0.9670077972585677,0.1770075784444937,FALSE,case
dengue_cases,dengue_cases_lag13,13,0.07820831239149287,0.2195067154410439,0.20720313432408352,0.1532978852381307,0.8744628130404929,0.16456971957530697,FALSE,case
dengue_cases,dengue_cases_lag14,14,0.07270894894218417,0.21463051334171124,0.2048004634113485,0.14832829807438144,0.8452941754566976,0.1597184448795973,FALSE,case
dengue_cases,dengue_cases_lag15,15,0.0727366801606748,0.21500582081036984,0.1984102973869629,0.1459817007525833,0.831113134384101,0.15809169942506637,FALSE,case
dengue_cases,dengue_cases_lag16,16,0.0642966100601359,0.20736377946137413,0.19333545086751108,0.13906553396139534,0.7909668417322506,0.15046937162463908,FALSE,case
dengue_cases,dengue_cases_lag17,17,0.063051971304791607,0.20613030472750746,0.19057621221700372,0.1366127855226629,0.776258442717952,0.1486214430825622,FALSE,case
dengue_cases,dengue_cases_lag18,18,0.059176924456177844,0.20175246891181559,0.1882760085871596,0.1368734692226665,0.7769796751995316,0.145529874126231,FALSE,case
dengue_cases,dengue_cases_lag19,19,0.05877362861356153,0.19935573418007557,0.18146229520181736,0.13540119721324848,0.7684562000114713,0.14301767236398202,FALSE,case
dengue_cases,dengue_cases_lag20,20,0.053643033740544875,0.19062815243512854,0.17843482263972377,0.12598265094941757,0.7148472500197406,0.13616285799627811,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag1,1,0.1577791182584586,0.0966027992835871,0.09884797735134168,0.04907732633802127,0.28319090117537116,0.11360070763252997,TRUE,case
dengue_incidence_10000,dengue_incidence_10000_lag2,2,0.12488256178483581,0.08321908095364303,0.0873248486114503,0.04337512380751563,0.2500502967413034,0.09464460795951544,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag3,3,0.11496136687338016,0.07584096552354828,0.08247566314021289,0.04113151013650929,0.23689111247913647,0.08754523691242665,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag4,4,0.11750762550191549,0.06842475584946518,0.07163849994237194,0.034236042450029265,0.19699007750994335,0.08268956787248635,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag5,5,0.09006087492313751,0.05809888023268156,0.06223923572580855,0.030890615328370563,0.17757149457149704,0.06744740388042632,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag6,6,0.07703509029191725,0.0497847733065649,0.05620385231426272,0.026778173244700346,0.15378456339820684,0.058379377438099865,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag7,7,0.08190655388587034,0.045120201473911166,0.05189860801764174,0.022852552719081057,0.13111453239538146,0.05705357338425411,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag8,8,0.06470638244262589,0.035523736690548105,0.04000445153497942,0.015601577121900823,0.08942689082961015,0.04435585106176296,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag9,9,0.05353681508241706,0.029093030280393645,0.0344364247820792,0.011640238481302823,0.06665676418921723,0.03662804923733048,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag10,10,0.051295778218968406,0.02666246599560293,0.02563374809983565,0.010684910868091384,0.06112729405935522,0.033166291116418674,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag11,11,0.04955059223353231,0.022827800857305434,0.02760654204381078,0.009018432507990759,0.051543800871614115,0.031473262546349405,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag12,12,0.043301485358947435,0.021490143834803806,0.02507238324469012,0.011125667062430566,0.06352603453771134,0.028788373623549014,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag13,13,0.036320411203403624,0.017157201664152154,0.022193040615895533,0.007094720429794414,0.040470676912878825,0.023681895868476775,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag14,14,0.02985786837717004,0.013703248944934188,0.020210694870991135,0.004246733236008459,0.02420130828567857,0.019431396051383484,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag15,15,0.030873082162430787,0.01362667413614366,0.014838527861157356,0.0029456176108456256,0.016770194296083292,0.01843535156927796,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag17,17,0.02515856774119477,0.009036480521117825,0.011403883879497926,3.9438637177396604e-4,0.0022409743686621314,0.013874007851641534,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag16,16,0.02283613412579115,0.00836657746155619,0.012290032752919053,2.852055457759392e-4,0.001622171384705378,0.013016183477400254,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag19,19,0.019569264041218025,0.006647907840301417,0.00839411790421353,1.0783403618635733e-4,6.120014843781462e-4,0.010543421775717711,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag20,20,0.020030586350236666,0.004036682902197195,0.007313720529673321,0.002457602285116764,0.01394485845429649,0.01016262873525994,FALSE,case
dengue_incidence_10000,dengue_incidence_10000_lag18,18,0.013008374066256146,0.005360022234533419,0.009899170032176142,8.378648347266508e-4,0.004756246413973413,0.008303828857023795,FALSE,case
target_log_incidence,target_log_incidence_lag1,1,0.19899533700732447,0.1849378433351191,0.18574584845214007,0.10227151958992756,0.5901373591325888,0.18234166525472986,TRUE,case
target_log_incidence,target_log_incidence_lag2,2,0.17191767950162543,0.16985625392509984,0.17346785607818435,0.09305610072647652,0.5364527758402001,0.16406812488872005,FALSE,case
target_log_incidence,target_log_incidence_lag3,3,0.1629558967632505,0.15894300244393816,0.16453314339970923,0.09025358398456325,0.5198027452812045,0.15531283076673735,FALSE,case
target_log_incidence,target_log_incidence_lag4,4,0.15411411857474824,0.1452556109554103,0.14787489746079316,0.08045025121565769,0.46290108514728234,0.1428516474872974,FALSE,case
target_log_incidence,target_log_incidence_lag5,5,0.1294299530772637,0.13402454075154582,0.1388426936087368,0.07571882927916,0.43526182697202664,0.1281026312350365,FALSE,case
target_log_incidence,target_log_incidence_lag6,6,0.11744118544601452,0.12235324111146446,0.12792472051067827,0.0687342589812232,0.3947344688894757,0.11684766505462699,FALSE,case
target_log_incidence,target_log_incidence_lag7,7,0.11641325305057003,0.11568955268833819,0.12178951658922715,0.06423161609075495,0.3685233068177773,0.11237462441475152,FALSE,case
target_log_incidence,target_log_incidence_lag8,8,0.09757690065421058,0.10205929358945051,0.1044240069000448,0.05477048534330675,0.31393968497653735,0.09636388130309077,FALSE,case
target_log_incidence,target_log_incidence_lag9,9,0.0821664294716994,0.09318684910913401,0.09810353896912918,0.04841600165560427,0.27724981804392335,0.08579744330795332,FALSE,case
target_log_incidence,target_log_incidence_lag10,10,0.07993494895327392,0.08798554360117844,0.0851169408739624,0.04571027167139201,0.2615038392602995,0.08032570787693608,FALSE,case
target_log_incidence,target_log_incidence_lag11,11,0.07395525368867928,0.08098669676375285,0.08578141907222314,0.04190866542852018,0.23952409698216443,0.07551956646049632,FALSE,case
target_log_incidence,target_log_incidence_lag12,12,0.07095325023794004,0.0810945655845049,0.0852338916904452,0.04572612743695124,0.26108992211713994,0.07513289704236698,FALSE,case
target_log_incidence,target_log_incidence_lag13,13,0.06410380659640068,0.07416509811732418,0.08022861729262386,0.03884573482302891,0.22158916575389148,0.06830931144733002,FALSE,case
target_log_incidence,target_log_incidence_lag14,14,0.05740435722654615,0.07106112524354738,0.07798466807782288,0.0366520487437176,0.20887291017038445,0.06415321626179811,FALSE,case
target_log_incidence,target_log_incidence_lag15,15,0.05665471569339053,0.06978615121949906,0.06919677306007427,0.03481539049904287,0.19821339341733313,0.06138944607741109,FALSE,case
target_log_incidence,target_log_incidence_lag17,17,0.05159227171036865,0.06539340959750807,0.0655705911629924,0.03136255609670993,0.17820768992389038,0.05689581998554909,FALSE,case
