variable,feature,lag,cor_log_incidence,cor_cases,cor_outbreak,cor_large_outbreak,peak_lift,selection_score,selected,group
dengue_cases,dengue_cases_lag1,1,0.30955781608213373,0.5890237905241231,0.47234529228732225,0.4628396567703892,2.6827552186134813,0.4705179838973784,TRUE,case
dengue_cases,dengue_cases_lag2,2,0.2870577383189521,0.5547353208292223,0.4481861054849688,0.4373793109148458,2.5334192110775837,0.4424896103668381,TRUE,case
dengue_cases,dengue_cases_lag3,3,0.2754805051029821,0.5380837332619355,0.4340704961977982,0.41807302652424233,2.418751547707946,0.42677722445174066,FALSE,case
dengue_cases,dengue_cases_lag4,4,0.2620758901076346,0.5180879474923572,0.4160329566858501,0.40227871580303953,2.3246376031047538,0.40933136875459913,FALSE,case
dengue_cases,dengue_cases_lag5,5,0.24699847706053393,0.49447608257141457,0.40474923105387645,0.38637726682625917,2.2301170549886904,0.3915484822191573,FALSE,case
dengue_cases,dengue_cases_lag6,6,0.23445229230333087,0.46430291709569793,0.3900191782511419,0.35517311028795984,2.047589307043338,0.36899681256462186,FALSE,case
dengue_cases,dengue_cases_lag7,7,0.2196656550594406,0.4430359822467595,0.3706090681363106,0.3381886629455727,1.9473646717799,0.35019053172964976,FALSE,case
dengue_cases,dengue_cases_lag8,8,0.20756169471424574,0.4273706076297604,0.36113204230913154,0.31200091827614695,1.794437609044936,0.33419156921243737,FALSE,case
dengue_cases,dengue_cases_lag9,9,0.19249049627721776,0.4108880269720918,0.34643583021354063,0.29502576774322664,1.6947883232434193,0.3176742966597415,FALSE,case
dengue_cases,dengue_cases_lag10,10,0.1850680795671977,0.39711069883705963,0.3404110827687169,0.29295476879190013,1.6808845221902338,0.30929947296907434,FALSE,case
dengue_cases,dengue_cases_lag11,11,0.17288030860526518,0.37639709670095434,0.3175129294051248,0.2722091000821019,1.559985283721317,0.29015048764005286,FALSE,case
dengue_cases,dengue_cases_lag12,12,0.16037636431857522,0.3624641847488277,0.3107318304038865,0.2635689939814081,1.5086604079196757,0.27851858854706235,FALSE,case
dengue_cases,dengue_cases_lag13,13,0.14772639573003016,0.34142322061541064,0.29613470221400995,0.24980808062749046,1.4281759676783787,0.26214188599032445,FALSE,case
dengue_cases,dengue_cases_lag14,14,0.14244216826902084,0.3255690090755211,0.2880957012536314,0.23397904071829875,1.3360693574889484,0.2508103285641856,FALSE,case
dengue_cases,dengue_cases_lag15,15,0.12720652666498508,0.3011185774830313,0.2676771497616784,0.2080239797673855,1.1864269325239678,0.2289694677154612,FALSE,case
dengue_cases,dengue_cases_lag16,16,0.11580051083520161,0.2897688310115882,0.2575627322857555,0.19868330465174308,1.1317832253647155,0.21770475877420098,FALSE,case
dengue_cases,dengue_cases_lag17,17,0.11261481976264953,0.28367571812806397,0.24998799906474184,0.19368392608413562,1.101966689260531,0.21225000626438398,FALSE,case
dengue_cases,dengue_cases_lag18,18,0.10309528594047719,0.26796074294462824,0.24068173144302996,0.18487887451316576,1.0505915542182374,0.20060566593944867,FALSE,case
dengue_cases,dengue_cases_lag19,19,0.10064843062806912,0.26288487647938213,0.23836142846355093,0.18887714941401199,1.0720041846460915,0.19851915070851842,FALSE,case
