horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,RMSE_raw,MAE_raw,R2_raw,score
9,0.05,4,5,0.85,0.85,1,0.05,600,1.4144660182222188,0.7564903330019696,0.3523592534712129,1.5657640848226126
9,0.03,4,3,0.85,0.85,1,0.05,400,1.416073776173032,0.756900255243266,0.3508861303051102,1.5674538272216851
9,0.03,4,5,0.85,0.85,1,0.05,400,1.4188226163467976,0.7573410863296722,0.3483636033896832,1.5702908336127321
9,0.03,3,3,0.85,0.85,1,0.05,400,1.4245410920993529,0.7625002242846737,0.3431002585080508,1.5770411369562876
9,0.05,4,3,0.85,0.85,1,0.05,600,1.426957559417032,0.757689697911793,0.34086975338764447,1.5784954989993907
9,0.05,4,5,0.85,0.85,1,0.05,500,1.4294342602659202,0.7585420039178373,0.3385797271306238,1.5811426610494876
9,0.03,4,3,0.85,0.85,1,0.05,600,1.429107434926196,0.7672378292193198,0.33888214634499214,1.5825550007700602
9,0.05,3,5,0.85,0.85,1,0.05,500,1.4312760566298919,0.7628029343020774,0.33687417647866114,1.5838366434903073
9,0.03,4,5,0.85,0.85,1,0.05,600,1.4316095317677233,0.7621063576451972,0.33656513513646324,1.5840308032967627
9,0.05,4,5,0.85,0.85,1,0.05,400,1.4323074695994038,0.7602326355210612,0.33591810233817476,1.584353996703616
9,0.03,4,5,0.85,0.85,1,0.05,500,1.4337569558726333,0.7670927033960723,0.33457332871005474,1.5871754965518479
9,0.03,4,3,0.85,0.85,1,0.05,500,1.4357631004757436,0.7668829030253,0.3327098663425313,1.5891396810808036
9,0.05,4,3,0.85,0.85,1,0.05,500,1.4386622906718425,0.7657870324955904,0.3300122705461539,1.5918196971709606
9,0.05,4,3,0.85,0.85,1,0.05,400,1.4415107924299557,0.7673943250935302,0.3273565387856434,1.5949896574486617
9,0.03,3,3,0.85,0.85,1,0.05,500,1.4464692591883954,0.7744430819097782,0.32272110135418774,1.601357875570351
9,0.05,3,3,0.85,0.85,1,0.05,500,1.4485772264487662,0.7700042020512006,0.32074564003091643,1.6025780668590064
9,0.05,3,3,0.85,0.85,1,0.05,600,1.4493820497533598,0.7694892770624506,0.31999064872617056,1.60327990516585
9,0.05,3,5,0.85,0.85,1,0.05,600,1.448768496526331,0.7794627316028948,0.32056625075276257,1.60466104284691
9,0.03,3,5,0.85,0.85,1,0.05,500,1.45061872443208,0.7731411590568591,0.31882972761011885,1.605246956243452
9,0.03,3,5,0.85,0.85,1,0.05,600,1.4573680632928983,0.7748502420323199,0.312476377471143,1.6123381116993623
9,0.03,3,5,0.85,0.85,1,0.05,400,1.4613766817471792,0.7799978210515294,0.3086889880154181,1.617376245957485
9,0.05,3,3,0.85,0.85,1,0.05,400,1.462193920673492,0.776956017640134,0.3079155744965376,1.617585124201519
9,0.03,3,3,0.85,0.85,1,0.05,600,1.464364209732,0.7771292700216227,0.30585957092788074,1.6197900637363245
9,0.05,3,5,0.85,0.85,1,0.05,400,1.4747725469149682,0.7841679517983562,0.2959569472480299,1.6316061372746393
