horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,RMSE_raw,MAE_raw,R2_raw,score
11,0.05,4,5,0.85,0.85,1,0.05,400,1.5366860110727611,0.8384758603380045,0.23560224337014102,1.7043811831403621
11,0.03,4,3,0.85,0.85,1,0.05,600,1.540182430490615,0.8416431706193976,0.2321198199158523,1.7085110646144948
11,0.03,4,3,0.85,0.85,1,0.05,500,1.5392291696558278,0.8467319446808534,0.2330700496583772,1.7085755585919986
11,0.03,4,5,0.85,0.85,1,0.05,400,1.5405693964926568,0.8406998624782904,0.23173391647267583,1.7087093689883148
11,0.03,4,3,0.85,0.85,1,0.05,400,1.540704385422565,0.8461985131730022,0.23159927539736846,1.7099440880571655
11,0.03,3,5,0.85,0.85,1,0.05,500,1.5434827708398469,0.847218319871998,0.22882542941403483,1.7129264348142466
11,0.03,4,5,0.85,0.85,1,0.05,500,1.5451902710888252,0.8406426384058642,0.22711823947954934,1.713318798769998
11,0.03,3,3,0.85,0.85,1,0.05,500,1.549351348858937,0.8528114586989328,0.22295001318300156,1.7199136405987236
11,0.05,4,3,0.85,0.85,1,0.05,400,1.552697416020695,0.8500424238033734,0.21959006636909573,1.7227059007813696
11,0.05,4,5,0.85,0.85,1,0.05,500,1.5555329726348752,0.8374175924365479,0.21673707371677442,1.7230164911221848
11,0.03,3,3,0.85,0.85,1,0.05,400,1.5521146541588167,0.8545453412804632,0.22017576683368045,1.7230237224149092
11,0.05,3,5,0.85,0.85,1,0.05,600,1.5535593906512342,0.8515099191211088,0.2187233420749386,1.7238613744754558
11,0.03,3,5,0.85,0.85,1,0.05,400,1.5546395223030984,0.8509133053867102,0.21763657962244776,1.7248221833804405
11,0.05,4,5,0.85,0.85,1,0.05,600,1.559703447247585,0.8476575374368209,0.21253149640026558,1.7292349547349493
11,0.03,3,3,0.85,0.85,1,0.05,600,1.5594504409163266,0.8506612467095381,0.2127869531129848,1.7295826902582343
11,0.05,3,3,0.85,0.85,1,0.05,400,1.5602377404823689,0.8578595240385481,0.21199189233748295,1.7318096452900784
11,0.05,3,5,0.85,0.85,1,0.05,400,1.5619230403536433,0.8538508871673667,0.2102886298569323,1.7326932177871166
11,0.03,4,5,0.85,0.85,1,0.05,600,1.5631576897008772,0.8519037197820616,0.2090396541239271,1.7335384336572894
11,0.05,3,5,0.85,0.85,1,0.05,500,1.565908802794829,0.8553036631882948,0.20625306868017446,1.7369695354324879
11,0.05,3,3,0.85,0.85,1,0.05,500,1.566402102667319,0.8552304256487613,0.20575289020989618,1.7374481877970713
11,0.03,3,5,0.85,0.85,1,0.05,600,1.5692420702834518,0.8584440560911643,0.20287025763515643,1.7409308815016846
11,0.05,4,3,0.85,0.85,1,0.05,600,1.5705799541581718,0.854528208253534,0.2015104653305435,1.7414855958088786
11,0.05,4,3,0.85,0.85,1,0.05,500,1.5831769781835308,0.8617397549533048,0.1886503369507213,1.7555249291741917
11,0.05,3,3,0.85,0.85,1,0.05,600,1.5845390309887364,0.8590302295364667,0.18725368139678356,1.7563450768960298
