horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,RMSE_raw,MAE_raw,R2_raw,score
2,0.05,3,3,0.85,0.85,1,0.05,500,0.8928959470017652,0.4647898263328653,0.39808781836372253,0.9858539122683383
2,0.03,4,5,0.85,0.85,1,0.05,500,0.8952887003324346,0.46640556605188316,0.394857526817851,0.9885698135428111
2,0.03,3,5,0.85,0.85,1,0.05,500,0.8981343286680847,0.4702864318461881,0.39100458590964504,0.9921916150373223
2,0.03,3,3,0.85,0.85,1,0.05,600,0.9007129228382675,0.46627389947748415,0.3875026458128573,0.9939677027337643
2,0.05,3,5,0.85,0.85,1,0.05,500,0.9026567098364773,0.4695817279569514,0.3848561887357399,0.9965730554278676
2,0.03,3,5,0.85,0.85,1,0.05,600,0.90329534748924,0.4701710832059459,0.3839854413756312,0.9973295641304292
2,0.05,3,5,0.85,0.85,1,0.05,400,0.9042688038232627,0.46761344035056435,0.3826570023532293,0.9977914918933756
2,0.03,4,3,0.85,0.85,1,0.05,600,0.9049174842837256,0.46688828384755177,0.38177097825642414,0.998295141053236
2,0.03,3,3,0.85,0.85,1,0.05,400,0.9036613949062571,0.47349103838142764,0.38348607817830893,0.9983596025825426
2,0.05,3,3,0.85,0.85,1,0.05,600,0.9045325524250895,0.4693621995514131,0.38229682826079403,0.998404992335372
2,0.03,3,3,0.85,0.85,1,0.05,500,0.903917607833888,0.47314718137421613,0.3831364312185763,0.9985470441087312
2,0.03,4,3,0.85,0.85,1,0.05,400,0.9058292895226571,0.4754488403898077,0.38052448127029803,1.0009190576006186
2,0.05,4,5,0.85,0.85,1,0.05,400,0.9074319129430253,0.47069796062614977,0.3783305486580506,1.0015715050682552
2,0.05,3,5,0.85,0.85,1,0.05,600,0.9083208878425058,0.4721713559938002,0.3771119024235291,1.0027551590412658
2,0.03,4,5,0.85,0.85,1,0.05,600,0.9088924743430039,0.47177641156435424,0.3763277160087761,1.0032477566558748
2,0.05,3,3,0.85,0.85,1,0.05,400,0.9086255817212235,0.4732674582824624,0.3766939399494491,1.003279073377716
2,0.05,4,3,0.85,0.85,1,0.05,400,0.9093864646468545,0.47058043273978034,0.37564959006114274,1.0035025511948106
2,0.03,3,5,0.85,0.85,1,0.05,400,0.9085402897545852,0.4748713070399437,0.37681095295362677,1.003514551162574
2,0.03,4,3,0.85,0.85,1,0.05,500,0.9092956586359654,0.4713595834572077,0.3757742717926692,1.003567575327407
2,0.03,4,5,0.85,0.85,1,0.05,400,0.9096293217549016,0.4724702303306163,0.37531607249202137,1.0041233678210248
2,0.05,4,3,0.85,0.85,1,0.05,600,0.9120665370660245,0.47298265922839433,0.3719640941926713,1.0066630689117033
2,0.05,4,3,0.85,0.85,1,0.05,500,0.9160105556662437,0.47319346404874113,0.36652076135398215,1.010649248475992
2,0.05,4,5,0.85,0.85,1,0.05,600,0.9197925738103429,0.47675528794679806,0.36127895294280155,1.0151436313997024
2,0.05,4,5,0.85,0.85,1,0.05,500,0.9204376644522779,0.4759133309334243,0.3603827129201169,1.0156203306389628
