horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,Alert_AUC,Brier_score,Alert_F1,Alert_Recall,Alert_Precision,score
11,0.05,4,3,0.85,0.85,1,0.05,500,0.8490413269407717,0.2489479743278122,0.38701874622052007,0.8897126969416126,0.2472952086553323,-0.7245673397768656
11,0.05,4,5,0.85,0.85,1,0.05,500,0.8483149130575184,0.2486069591525126,0.3835118205698121,0.8795180722891566,0.24521963824289406,-0.7240114334812621
11,0.05,4,3,0.85,0.85,1,0.05,400,0.8487761292372916,0.2531993507208879,0.3837902264600715,0.8952734012974977,0.24424778761061947,-0.7221764538768477
11,0.03,4,3,0.85,0.85,1,0.05,500,0.8524699543929065,0.26484159707854743,0.3734709480122324,0.9054680259499537,0.23525162533108596,-0.7200491558536328
11,0.05,4,5,0.85,0.85,1,0.05,400,0.8468679728848147,0.2567940220550514,0.37851662404092073,0.891566265060241,0.24025974025974026,-0.7184709618572891
11,0.05,3,5,0.85,0.85,1,0.05,500,0.8536924620496583,0.27138486461492844,0.3691615081598199,0.9119555143651529,0.23142050799623706,-0.7180000297421941
11,0.03,4,5,0.85,0.85,1,0.05,500,0.8503294300719605,0.2657019521823244,0.37079292641186534,0.9036144578313253,0.2332535885167464,-0.7174784539807983
11,0.05,3,3,0.85,0.85,1,0.05,500,0.8510947532707823,0.26907142773855075,0.3717247879359095,0.9138090824837812,0.23331755797444392,-0.7165590394015069
11,0.05,3,5,0.85,0.85,1,0.05,400,0.8512581339988191,0.2740281417629423,0.3679227770558752,0.9184430027803522,0.23003714020427113,-0.7142440631173479
11,0.05,3,3,0.85,0.85,1,0.05,400,0.8524942087195521,0.2773484777492881,0.3665191740412979,0.9212233549582948,0.22876869965477561,-0.713819969844908
11,0.03,4,3,0.85,0.85,1,0.05,400,0.8507034842652136,0.27410088081004,0.3674228337671997,0.9156626506024096,0.22982088857873925,-0.7136530438601936
11,0.03,4,5,0.85,0.85,1,0.05,400,0.8488307814667251,0.2745016985933649,0.3691162790697674,0.9193697868396663,0.2309124767225326,-0.7115799321700427
11,0.03,3,3,0.85,0.85,1,0.05,500,0.8514298981484669,0.28715704784693563,0.35954253037884204,0.9323447636700649,0.22271419083462476,-0.7078513742249991
11,0.03,3,5,0.85,0.85,1,0.05,500,0.850146402699385,0.28706320951790604,0.35779325120514194,0.9286376274328082,0.22158337019018134,-0.706614797940432
11,0.03,3,3,0.85,0.85,1,0.05,400,0.8510925774208986,0.2915020511639027,0.3544880785413745,0.9369786839666358,0.2185945945945946,-0.7053415518389472
11,0.03,3,5,0.85,0.85,1,0.05,400,0.847333412773186,0.2947419996314991,0.3522627992311725,0.9341983317886933,0.21705426356589147,-0.6999624129574364
