horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,Alert_AUC,Brier_score,Alert_F1,Alert_Recall,Alert_Precision,score
10,0.05,4,3,0.85,0.85,1,0.05,500,0.8604070067997869,0.2226846556652935,0.40992725716730843,0.8878591288229842,0.26648122392211404,-0.7490646789671401
10,0.05,4,5,0.85,0.85,1,0.05,400,0.8597804260288474,0.23343388167809384,0.39983494945327014,0.8980537534754403,0.2571656050955414,-0.7430634851898005
10,0.05,4,5,0.85,0.85,1,0.05,500,0.8549633503685314,0.225898327823183,0.4053938356164384,0.8776645041705282,0.2635680489841358,-0.74201418645694
10,0.05,4,3,0.85,0.85,1,0.05,400,0.8581246682628872,0.23635871076946063,0.4000823214653221,0.9008341056533827,0.2571428571428571,-0.7399453128781569
10,0.05,3,5,0.85,0.85,1,0.05,500,0.8621469827553657,0.249128945389971,0.3908769170271333,0.9212233549582948,0.2480658847017719,-0.7375825100603802
10,0.03,4,3,0.85,0.85,1,0.05,500,0.8592122732268456,0.24771721030342847,0.3895693401817464,0.9138090824837812,0.2475520964097414,-0.7353536680751314
10,0.03,4,5,0.85,0.85,1,0.05,500,0.8573434741590308,0.24405350585258723,0.3927141713370697,0.9091751621872104,0.2504467704876181,-0.7353167212327372
10,0.03,4,3,0.85,0.85,1,0.05,400,0.8596597943514681,0.25187685457022346,0.38860710105345303,0.9230769230769231,0.24610822831727205,-0.7337213670663564
10,0.05,3,3,0.85,0.85,1,0.05,400,0.861522257856386,0.25596983882148977,0.3837994214079074,0.9221501390176089,0.2423283000487092,-0.7335373384456412
10,0.05,3,3,0.85,0.85,1,0.05,500,0.8582523394545963,0.25231486397247976,0.3865777080062795,0.9128822984244671,0.24520786656708987,-0.7320949074683565
10,0.03,4,5,0.85,0.85,1,0.05,400,0.8593223456327301,0.25464128608223974,0.3866822429906542,0.9202965708989805,0.24476213951195464,-0.7320017025916102
10,0.05,3,5,0.85,0.85,1,0.05,400,0.8614754130883002,0.2592910576636167,0.3798670465337132,0.9267840593141798,0.23889154323936931,-0.7318298842564919
10,0.03,3,3,0.85,0.85,1,0.05,500,0.8621871079870458,0.26478364025031514,0.37799401197604793,0.9360518999073216,0.23681125439624853,-0.7297952878618882
10,0.03,3,5,0.85,0.85,1,0.05,500,0.8583409733395674,0.26903029126721995,0.3749072011878248,0.9360518999073216,0.2343931306567649,-0.7238258277059574
10,0.03,3,3,0.85,0.85,1,0.05,400,0.8591288229842446,0.27228194025637786,0.3711415525114155,0.9416126042632067,0.2311191992720655,-0.7229878528560557
10,0.03,3,5,0.85,0.85,1,0.05,400,0.8587776152147711,0.2724925820582669,0.36880466472303214,0.93790546802595,0.2295305057836244,-0.7225313241856377
