horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,Alert_AUC,Brier_score,Alert_F1,Alert_Recall,Alert_Precision,score
4,0.05,4,3,0.85,0.85,1,0.05,500,0.8809720519761901,0.15606356825054685,0.4794885455514118,0.8341056533827618,0.3364485981308411,-0.8029402678509167
4,0.05,4,5,0.85,0.85,1,0.05,500,0.8812273303640236,0.15711549521322685,0.48264815803523753,0.8378127896200185,0.33895763029621295,-0.8026695827574102
4,0.05,4,5,0.85,0.85,1,0.05,400,0.8853922270194735,0.1677936089547051,0.47369758576874205,0.8637627432808156,0.32633053221288516,-0.8014954225421209
4,0.03,4,3,0.85,0.85,1,0.05,400,0.8931834334885568,0.18540900881168146,0.4501758499413833,0.8897126969416126,0.3013182674199623,-0.800478929082716
4,0.03,4,5,0.85,0.85,1,0.05,500,0.8889461578266792,0.1772592442592165,0.46358577304621346,0.8878591288229842,0.3136869679109365,-0.800316535697071
4,0.03,4,3,0.85,0.85,1,0.05,500,0.8881451250915297,0.17608979099828218,0.46180131803758845,0.8767377201112141,0.31345261762756793,-0.8001002295923886
4,0.03,4,5,0.85,0.85,1,0.05,400,0.8931266054092396,0.18626353815823324,0.4534774436090225,0.8943466172381835,0.3037456720176267,-0.799994836330123
4,0.05,3,5,0.85,0.85,1,0.05,500,0.8896992578688011,0.18028202233590568,0.458675688738521,0.8795180722891566,0.3102321019941157,-0.7995582467008483
4,0.05,4,3,0.85,0.85,1,0.05,400,0.8834325542212191,0.16817777839527534,0.4710346572223627,0.8628359592215014,0.32393876130828114,-0.7993436650235815
4,0.05,3,3,0.85,0.85,1,0.05,500,0.8848903736433416,0.18056746352379913,0.4545237526856052,0.8822984244670992,0.30610932475884245,-0.794606641881442
4,0.05,3,3,0.85,0.85,1,0.05,400,0.8916135577974205,0.1941332708275553,0.44272727272727275,0.9026876737720111,0.29328515507377295,-0.7945469223836428
4,0.05,3,5,0.85,0.85,1,0.05,400,0.8898856770073719,0.19169217319307108,0.4432656826568266,0.8906394810009268,0.2950568007368744,-0.7940395904108364
4,0.03,3,3,0.85,0.85,1,0.05,500,0.8886894075403949,0.1988506233460471,0.43390740326548866,0.8989805375347544,0.28596698113207547,-0.7892640958673713
4,0.03,3,5,0.85,0.85,1,0.05,500,0.8880506676083404,0.19943709395493867,0.4379758172861622,0.9063948100092678,0.2887511071744907,-0.7883321206308711
4,0.03,3,3,0.85,0.85,1,0.05,400,0.8898847810691844,0.20788361322337745,0.4277982247239662,0.9156626506024096,0.2790960451977401,-0.7859429744574957
4,0.03,3,5,0.85,0.85,1,0.05,400,0.8885699917791272,0.20843260182343804,0.4287576020851433,0.9147358665430955,0.28,-0.7843536908674082
