horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,RMSE_raw,MAE_raw,R2_raw,score
7,0.05,3,5,0.85,0.85,1,0.05,400,1.3815310981146516,0.7252459558329776,0.3821679140366857,1.526580289281247
7,0.03,4,3,0.85,0.85,1,0.05,400,1.3914216649324231,0.7267981337297169,0.3732899622740826,1.5367812916783665
7,0.03,4,5,0.85,0.85,1,0.05,400,1.3943513789626896,0.7220606400731077,0.37064803966904347,1.5387635069773111
7,0.05,4,5,0.85,0.85,1,0.05,600,1.3947163021255122,0.7280083436782747,0.3703185744211863,1.5403179708611672
7,0.03,4,3,0.85,0.85,1,0.05,600,1.3991734809558756,0.7279531126840321,0.3662875218977515,1.544764103492682
7,0.03,3,5,0.85,0.85,1,0.05,400,1.4121159992183607,0.7366093523622596,0.3545094694962271,1.5594378696908127
7,0.05,3,3,0.85,0.85,1,0.05,400,1.4134888624691975,0.7446881509375601,0.3532537638782617,1.5624264926567095
7,0.03,4,3,0.85,0.85,1,0.05,500,1.4171617263337353,0.7338030979349489,0.34988833649802464,1.563922345920725
7,0.05,4,5,0.85,0.85,1,0.05,500,1.4184984696811302,0.7276175022962807,0.3486613173311637,1.5640219701403864
7,0.05,4,5,0.85,0.85,1,0.05,400,1.418900739635959,0.7375115351744902,0.34829184053560547,1.566403046670857
7,0.03,3,3,0.85,0.85,1,0.05,600,1.4189464178971032,0.7374594677640199,0.34824987935560625,1.5664383114499072
7,0.03,3,5,0.85,0.85,1,0.05,600,1.4214454614824343,0.7437165124380145,0.34595213757499066,1.5701887639700371
7,0.03,4,5,0.85,0.85,1,0.05,600,1.4234562814511804,0.733945719715006,0.3441003567231077,1.5702454253941815
7,0.03,3,5,0.85,0.85,1,0.05,500,1.4247167048475495,0.735651634251725,0.3429382876387903,1.5718470316978945
7,0.03,3,3,0.85,0.85,1,0.05,400,1.4289433638933031,0.7433498995693026,0.33903393907926405,1.5776133438071636
7,0.05,3,3,0.85,0.85,1,0.05,500,1.4377945813779274,0.7454382858011944,0.3308202145166481,1.5868822385381662
7,0.05,3,5,0.85,0.85,1,0.05,600,1.4398907175926174,0.741477239585672,0.3288676206189691,1.5881861655097518
7,0.03,4,5,0.85,0.85,1,0.05,500,1.4396898684585016,0.7427612254801919,0.32905483893257337,1.58824211355454
7,0.05,4,3,0.85,0.85,1,0.05,600,1.4434875431535763,0.7452737285036712,0.32551047542995193,1.5925422888543106
7,0.05,4,3,0.85,0.85,1,0.05,400,1.4496326069448409,0.7477791538907365,0.31975551960984827,1.5991884377229881
7,0.05,4,3,0.85,0.85,1,0.05,500,1.4524961889491463,0.7530781841893435,0.3170653761838158,1.603111825787015
7,0.05,3,3,0.85,0.85,1,0.05,600,1.4532302439301195,0.754711336244221,0.316374925852554,1.6041725111789638
7,0.03,3,3,0.85,0.85,1,0.05,500,1.4552247365128197,0.7509126615552969,0.31449714935267303,1.6054072688238792
7,0.05,3,5,0.85,0.85,1,0.05,500,1.4574518097975964,0.7478366587763811,0.3123973591969498,1.6070191415528725
