horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,Alert_AUC,Brier_score,Alert_F1,Alert_Recall,Alert_Precision,score
2,0.05,4,5,0.85,0.85,1,0.05,500,0.8902719825687955,0.12919491246187687,0.45337159253945486,0.8081841432225064,0.3150548354935194,-0.8256745263378571
2,0.05,4,3,0.85,0.85,1,0.05,400,0.891937287563981,0.13357612230347882,0.4444444444444445,0.8158567774936062,0.305409286740067,-0.8251492264122416
2,0.05,4,3,0.85,0.85,1,0.05,500,0.8889481698524577,0.12876379695010196,0.4493170381020848,0.7992327365728901,0.3125,-0.8245662713774068
2,0.05,4,5,0.85,0.85,1,0.05,400,0.8898761195619942,0.13402746272917213,0.44005544005544006,0.8120204603580563,0.3018060836501901,-0.8228623881974081
2,0.03,4,3,0.85,0.85,1,0.05,500,0.8915645808890539,0.13947867981448728,0.4344897271808691,0.8248081841432225,0.29492455418381347,-0.8218252409818102
2,0.05,3,3,0.85,0.85,1,0.05,500,0.8934349000019679,0.14382769215054525,0.4346965699208443,0.8427109974424553,0.29288888888888887,-0.8215210539266953
2,0.03,4,5,0.85,0.85,1,0.05,500,0.8912291957746565,0.14159737264364325,0.4334344455679137,0.8222506393861893,0.294279176201373,-0.8204305094528349
2,0.05,3,5,0.85,0.85,1,0.05,500,0.8909639582297094,0.1445204894027522,0.4260471204188481,0.8324808184143222,0.2862796833773087,-0.8187037135283333
2,0.03,4,5,0.85,0.85,1,0.05,400,0.8921525651108552,0.1479966785109414,0.4262082387285112,0.840153452685422,0.28552803129074317,-0.8181542258553844
2,0.05,3,3,0.85,0.85,1,0.05,400,0.8928028084813585,0.1493287479273435,0.4215938303341902,0.8388746803069054,0.2815450643776824,-0.8181384345176868
2,0.05,3,5,0.85,0.85,1,0.05,400,0.8919599349654843,0.14862165616948145,0.42285345384118794,0.8375959079283888,0.28281519861830745,-0.8176491068807435
2,0.03,4,3,0.85,0.85,1,0.05,400,0.8909357974158552,0.14825342780774897,0.4243997404282933,0.8363171355498721,0.2843478260869565,-0.8168090835119807
2,0.03,3,3,0.85,0.85,1,0.05,500,0.8923578336937692,0.15625202731464446,0.4151061173533084,0.850383631713555,0.2745664739884393,-0.814231820036447
2,0.03,3,5,0.85,0.85,1,0.05,500,0.8916024113799546,0.15637229822674023,0.41103533787972724,0.8478260869565217,0.2712765957446808,-0.8134162622665845
2,0.03,3,5,0.85,0.85,1,0.05,400,0.8911638830437293,0.1596735210235027,0.41020910209102085,0.8529411764705882,0.2700404858299595,-0.8113271225319779
2,0.03,3,3,0.85,0.85,1,0.05,400,0.8912371690171333,0.16097575840330752,0.40916030534351144,0.8567774936061381,0.26875250701965503,-0.8107492898154796
